interval,onset_absolute_deg,onset_baseline_sub_deg
17,22.717999999999996,-13.057000000000002
18,29.804000000000002,20.489
19,24.327999999999996,24.822999999999997
20,24.395999999999997,30.020999999999997
21,0.26799999999999996,6.248
22,28.577999999999996,14.667999999999996
23,6.262499999999999,25.3625
24,17.006,20.036
25,6.812,-6.592999999999999
26,18.092,-9.338000000000001
27,28.591999999999995,-4.248000000000008
28,38.108,-2.152000000000008
29,26.52,3.75
30,33.35799999999999,-4.742000000000004
31,15.456,7.635999999999999
32,13.764,-0.2710000000000008
33,-0.11400000000000002,9.000999999999998
34,-11.164,1.6710000000000012
35,-8.930000000000001,7.634999999999996
36,-2.0250000000000004,-8.835
37,-5.938000000000001,11.551999999999998
38,6.0200000000000005,-17.05
